emoji_slug_hash,emoji_slug,image_type,filename,file_path,exists
9159238182395011426,man-juggling-medium-dark-skin-tone,ms-fluentui,person_juggling_flat_medium-dark.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-juggling-medium-dark-skin-tone/person_juggling_flat_medium-dark.webp,no
58059219236068089,man-juggling-medium-light-skin-tone,ms-fluentui,person_juggling_flat_light.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-juggling-medium-light-skin-tone/person_juggling_flat_light.webp,no
-251775401974550051,man-juggling-medium-skin-tone,ms-fluentui,person_juggling_flat_medium.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-juggling-medium-skin-tone/person_juggling_flat_medium.webp,no
-4777014486924786430,man-kneeling,ms-fluentui,man_kneeling_high_contrast_default.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-kneeling/man_kneeling_high_contrast_default.webp,no
7047488583594272351,man-kneeling-facing-right,ms-fluentui,man_kneeling_facing_right_high_contrast_default.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-kneeling-facing-right/man_kneeling_facing_right_high_contrast_default.webp,no
-237619616150701536,man-lifting-weights,ms-fluentui,man_lifting_weights_high_contrast_default.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-lifting-weights/man_lifting_weights_high_contrast_default.webp,no
1068459689616482927,man-light-skin-tone,ms-fluentui,man_flat_light.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-light-skin-tone/man_flat_light.webp,no
-4844941707690668007,man-light-skin-tone-blond-hair,ms-fluentui,person_blonde_hair_flat_light.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-light-skin-tone-blond-hair/person_blonde_hair_flat_light.webp,no
5242636108066594108,man-mage,ms-fluentui,man_mage_high_contrast_default.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-mage/man_mage_high_contrast_default.webp,no
-7743295569512293336,man-mechanic,ms-fluentui,man_mechanic_high_contrast_default.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-mechanic/man_mechanic_high_contrast_default.webp,no
-1470198910797549828,man-mechanic-dark-skin-tone,ms-fluentui,man_flat_dark.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-mechanic-dark-skin-tone/man_flat_dark.webp,no
-2922100771432178628,man-mechanic-light-skin-tone,ms-fluentui,man_flat_light.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-mechanic-light-skin-tone/man_flat_light.webp,no
-3252477646308432372,man-mechanic-medium-dark-skin-tone,ms-fluentui,man_flat_medium-dark.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-mechanic-medium-dark-skin-tone/man_flat_medium-dark.webp,no
2021040926846410080,man-mechanic-medium-light-skin-tone,ms-fluentui,man_flat_light.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-mechanic-medium-light-skin-tone/man_flat_light.webp,no
2676848799276605574,man-mechanic-medium-skin-tone,ms-fluentui,man_flat_medium.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-mechanic-medium-skin-tone/man_flat_medium.webp,no
-8900483916623744536,man-medium-dark-skin-tone,ms-fluentui,man_flat_medium-dark.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-medium-dark-skin-tone/man_flat_medium-dark.webp,no
