emoji_slug_hash,emoji_slug,filename,image_type,emoji_slug_only_hash,reason
-909198293305464938,man-pouting-medium-skin-tone,person_pouting_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
-7885807660451973476,man-raising-hand,man_raising_hand_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
-6542443842849375081,man-raising-hand-dark-skin-tone,person_raising_hand_flat_dark.webp,ms-fluentui,,not_found_in_backup_db
-658800255330754371,man-raising-hand-light-skin-tone,person_raising_hand_flat_light.webp,ms-fluentui,,not_found_in_backup_db
4203736199444824621,man-raising-hand-medium-dark-skin-tone,person_raising_hand_flat_medium-dark.webp,ms-fluentui,,not_found_in_backup_db
8075811271121498496,man-raising-hand-medium-light-skin-tone,person_raising_hand_flat_light.webp,ms-fluentui,,not_found_in_backup_db
-6464841195605479639,man-raising-hand-medium-skin-tone,person_raising_hand_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
1842680628972977227,man-red-hair,man_red_hair_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
-989077765962977034,man-rowing-boat,man_rowing_boat_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
5294249158751251412,man-rowing-boat-dark-skin-tone,person_rowing_boat_flat_dark.webp,ms-fluentui,,not_found_in_backup_db
401015702401829587,man-rowing-boat-light-skin-tone,person_rowing_boat_flat_light.webp,ms-fluentui,,not_found_in_backup_db
-5398913581836654015,man-rowing-boat-medium-dark-skin-tone,person_rowing_boat_flat_medium-dark.webp,ms-fluentui,,not_found_in_backup_db
5189699710199745696,man-rowing-boat-medium-light-skin-tone,person_rowing_boat_flat_light.webp,ms-fluentui,,not_found_in_backup_db
1958096551093804520,man-rowing-boat-medium-skin-tone,person_rowing_boat_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
-757966764782723068,man-running,man_running_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
3673217318510145680,man-running-dark-skin-tone,person_running_flat_dark.webp,ms-fluentui,,not_found_in_backup_db
5886065019652490707,man-running-facing-right,man_running_facing_right_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
3807373253629835033,man-running-light-skin-tone,person_running_flat_light.webp,ms-fluentui,,not_found_in_backup_db
4066437080629210846,man-running-medium-dark-skin-tone,person_running_flat_medium-dark.webp,ms-fluentui,,not_found_in_backup_db
6293102499187174157,man-running-medium-light-skin-tone,person_running_flat_light.webp,ms-fluentui,,not_found_in_backup_db
7071025527048734797,man-running-medium-skin-tone,person_running_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
7807985742845340493,man-scientist,man_scientist_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
-518294155412884335,man-scientist-dark-skin-tone,man_flat_dark.webp,ms-fluentui,,not_found_in_backup_db
7651279950002772178,man-scientist-light-skin-tone,man_flat_light.webp,ms-fluentui,,not_found_in_backup_db
-7290966189810635550,man-scientist-medium-dark-skin-tone,man_flat_medium-dark.webp,ms-fluentui,,not_found_in_backup_db
5411780452243806861,man-scientist-medium-light-skin-tone,man_flat_light.webp,ms-fluentui,,not_found_in_backup_db
3514436784178718459,man-scientist-medium-skin-tone,man_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
4549279696077730229,man-shrugging,man_shrugging_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
4241458549175193531,man-shrugging-dark-skin-tone,person_shrugging_flat_dark.webp,ms-fluentui,,not_found_in_backup_db
-5197383051552170858,man-shrugging-light-skin-tone,person_shrugging_flat_light.webp,ms-fluentui,,not_found_in_backup_db
-1516616662302332512,man-shrugging-medium-dark-skin-tone,person_shrugging_flat_medium-dark.webp,ms-fluentui,,not_found_in_backup_db
7428691177311230913,man-shrugging-medium-light-skin-tone,person_shrugging_flat_light.webp,ms-fluentui,,not_found_in_backup_db
-8447962801786944027,man-shrugging-medium-skin-tone,person_shrugging_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
185063256428474695,man-singer,man_singer_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
-2128565343138811381,man-singer-dark-skin-tone,man_flat_dark.webp,ms-fluentui,,not_found_in_backup_db
-7201030498123458766,man-singer-light-skin-tone,man_flat_light.webp,ms-fluentui,,not_found_in_backup_db
-8246075960974840150,man-singer-medium-dark-skin-tone,man_flat_medium-dark.webp,ms-fluentui,,not_found_in_backup_db
103754206964849428,man-singer-medium-light-skin-tone,man_flat_light.webp,ms-fluentui,,not_found_in_backup_db
-2461178183279050024,man-singer-medium-skin-tone,man_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
-3354711155072958353,man-standing,man_standing_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
3679975698757831162,man-student,man_student_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
983329993838492040,man-student-dark-skin-tone,man_flat_dark.webp,ms-fluentui,,not_found_in_backup_db
1139144631892110430,man-student-light-skin-tone,man_flat_light.webp,ms-fluentui,,not_found_in_backup_db
6067877385374329349,man-student-medium-dark-skin-tone,man_flat_medium-dark.webp,ms-fluentui,,not_found_in_backup_db
8278642893697262522,man-student-medium-light-skin-tone,man_flat_light.webp,ms-fluentui,,not_found_in_backup_db
8458971402109839527,man-student-medium-skin-tone,man_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
4890438318450698588,man-superhero,man_superhero_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
-6749590040686062491,man-supervillain,man_supervillain_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
9003173501123157651,man-surfing,man_surfing_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
3116301898676509134,man-surfing-dark-skin-tone,person_surfing_flat_dark.webp,ms-fluentui,,not_found_in_backup_db
-6594638959287097203,man-surfing-light-skin-tone,person_surfing_flat_light.webp,ms-fluentui,,not_found_in_backup_db
3136131481180182882,man-surfing-medium-dark-skin-tone,person_surfing_flat_medium-dark.webp,ms-fluentui,,not_found_in_backup_db
3813742740127193520,man-surfing-medium-light-skin-tone,person_surfing_flat_light.webp,ms-fluentui,,not_found_in_backup_db
8885265915065980814,man-surfing-medium-skin-tone,person_surfing_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
2923065381540051432,man-swimming,man_swimming_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
-2254495749547255574,man-swimming-dark-skin-tone,person_swimming_flat_dark.webp,ms-fluentui,,not_found_in_backup_db
9192270427831673957,man-swimming-light-skin-tone,person_swimming_flat_light.webp,ms-fluentui,,not_found_in_backup_db
6688192964113475412,man-swimming-medium-dark-skin-tone,person_swimming_flat_medium-dark.webp,ms-fluentui,,not_found_in_backup_db
15917155182551773,man-swimming-medium-light-skin-tone,person_swimming_flat_light.webp,ms-fluentui,,not_found_in_backup_db
-1611676152122822532,man-swimming-medium-skin-tone,person_swimming_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
1515667679259231699,man-teacher,man_teacher_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
1602158653274750705,man-teacher-dark-skin-tone,man_flat_dark.webp,ms-fluentui,,not_found_in_backup_db
-1760835656271885325,man-teacher-light-skin-tone,man_flat_light.webp,ms-fluentui,,not_found_in_backup_db
1500877697413196195,man-teacher-medium-dark-skin-tone,man_flat_medium-dark.webp,ms-fluentui,,not_found_in_backup_db
-4894433811744104118,man-teacher-medium-light-skin-tone,man_flat_light.webp,ms-fluentui,,not_found_in_backup_db
-3932711490775402268,man-teacher-medium-skin-tone,man_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
381516827711001830,man-technologist,man_technologist_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
-4967080838294794671,man-technologist-dark-skin-tone,man_flat_dark.webp,ms-fluentui,,not_found_in_backup_db
4142699763795296307,man-technologist-light-skin-tone,man_flat_light.webp,ms-fluentui,,not_found_in_backup_db
6844693395980878890,man-technologist-medium-dark-skin-tone,man_flat_medium-dark.webp,ms-fluentui,,not_found_in_backup_db
4015081789753113360,man-technologist-medium-light-skin-tone,man_flat_light.webp,ms-fluentui,,not_found_in_backup_db
8639774951516389185,man-technologist-medium-skin-tone,man_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
3817562086201156883,man-tipping-hand,man_tipping_hand_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
5436420895229962060,man-tipping-hand-dark-skin-tone,person_tipping_hand_flat_dark.webp,ms-fluentui,,not_found_in_backup_db
1192569743356153618,man-tipping-hand-light-skin-tone,person_tipping_hand_flat_light.webp,ms-fluentui,,not_found_in_backup_db
